ZINC000013775965	Oc1cc2c(cc1Cl)CC[C@H](CNCc1ccccc1)O2
ZINC000013775975	Oc1ccc(CNC[C@@H]2CCc3ccc(O)cc3O2)cc1
ZINC000013775976	Oc1ccc(CNC[C@H]2CCc3ccc(O)cc3O2)cc1
ZINC000026161855	O=C1Cc2c(c(Cl)ccc2OCCNCc2cccs2)N1
ZINC000040420921	C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1
ZINC000058582407	Clc1cccc(N2CCN(CCCCNc3ccc4ccccc4n3)CC2)c1Cl
ZINC000103224145	CCCN1C[C@H](CSC)O[C@@H]2Cc3c(O)cccc3C[C@H]21
ZINC000169327098	COc1ccccc1N1CCN(CCCCNC(=O)OC(C)(C)C)CC1
ZINC000169332685	COc1nc2sc(C(=O)NCCCCCCN3CCC(c4ccc(Cl)cc4)CC3)c(N)c2c(C)c1Cl
ZINC000253633891	O=C(N[C@@H]1CC[C@@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1)c1cccs1
ZINC000013684128	COc1ccc2c(c1)CCN(C)CCc1cc(OC)ccc1C2
ZINC000013747193	COc1ccc(Br)c(O)c1C(=O)NCCCCN1CCN(c2nsc3ccccc32)CC1
